VA 5571 Authorization to Disclose a Record in the Presence of a Third Party	228
VA 21-4142a General Release for Medical Provider Information	19
Congressionals	17
SHARE Print Screens	12
Fax Cover Sheet	14
STR - Medical	11
SHARE Print Screens	28
VA 21-4138 Statement In Support of Claim	10
VA 21-0820 Report of General Information	10
VA 21-526EZ, Fully Developed Claim (Compensation)	22
Medical Treatment Record - Non-Government Facility	10
Medical Treatment Record - Government Facility	22
Fax Cover Sheet	10
Medical Treatment Record - Government Facility	125
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	35
Rating Decision - Narrative	76
Medical Treatment Record - Government Facility	10
MAP-D Development Letter	10
CAPRI	11
VA 21-526EZ, Fully Developed Claim (Compensation)	23
Web / HTML Documents	14
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	10
VA 119 Report of Contact	10
Birth Certificate	10
Divorce Decree	10
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	12
Education - General	12
Education - General	20
Medical Treatment Record - Government Facility	10
Hearing Transcript	529838
VA 21-4138 Statement In Support of Claim	10
Hearing Request	12
RAMP Opt-in Election	35
Rating Decision - Narrative	14
Correspondence	638297
RAMP Opt-in Election	36
BVA Letter	26
Rating Decision - Narrative	33
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	41
RAMP Opt-in Election	10
RAMP Opt-in Election	13
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	942886
VA Form 10182 Notice of Disagreement	117
BVA Letter	19
BVA Letter	31075
Correspondence	16
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	22
Email Correspondence	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	13
VA Form 10182 Notice of Disagreement	10
Correspondence	10
Correspondence	16
VA 21-4138 Statement In Support of Claim	87
Email Correspondence	44
Email Correspondence	27
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	33
Rating Decision - Narrative	10
Miscellaneous C&P Correspondence	28
DRO Process Explanation Letter	10
Election DRO Process	16
VA 21-2507a Request for Physical Examination	163243
Third Party Correspondence	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	88
Correspondence	16
RAMP Opt-in Election	32
Email Correspondence	60
Correspondence	24
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	2792
VCAA Notice Acknowledgement	19
Correspondence	16
Rating Decision - Narrative	12
Rating Decision - Narrative	15
Rating Decision - Narrative	72
RAMP Opt-in Election	490224
Correspondence	529
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	16
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	20
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	85
Status Letter	1760344
Correspondence	42
Correspondence	25
Correspondence	23
Correspondence	14
Correspondence	18
Correspondence	12
Correspondence	10
Correspondence	17
Correspondence	14
Correspondence	16
Correspondence	27
VA Form 10182 Notice of Disagreement	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	11
Congressionals	10
Email Correspondence	10
Correspondence	11
Email Correspondence	11
Email Correspondence	16
Correspondence	12
Correspondence	16
Photographs	46
Photographs	10
Photographs	20
Correspondence	16
Correspondence	11
Correspondence	11
Court Documents - General	10
Medical Treatment Record - Government Facility	10
Medical Treatment Record - Government Facility	10
VCAA Notice Acknowledgement	36
Form 9	21
Medical Treatment Record - Government Facility	17
CAPRI	31
Medical Treatment Record - Government Facility	20
VR&E-General	13
VA 119 Report of Contact	34
Correspondence	37
Correspondence	11
Correspondence	333
Correspondence	16
Correspondence	274
Correspondence	10
Email Correspondence	86
Email Correspondence	22
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	35
Rating Decision - Narrative	70
other	11
other	267
BVA Decision	22
Correspondence	14
Correspondence	10
Rating Decision - Codesheet	32
Rating Decision - Narrative	31
Rating Decision - Narrative	19
Rating Decision - Narrative	11
Rating Decision - Narrative	19
NOD	46
Rating Decision - Codesheet	30
Correspondence	12
Correspondence	10
Correspondence	10
VA 21-4138 Statement In Support of Claim	10
other	10
VA 21-4138 Statement In Support of Claim	10
CAPRI	20
Rating Decision - Codesheet	13
Medical Treatment Record - Government Facility	32
VA 21-4138 Statement In Support of Claim	19
Medical Treatment Record - Non-Government Facility	10
Medical Treatment Record - Non-Government Facility	11
VA 27-0820 Report of General Information	10
VA 21-526EZ, Fully Developed Claim (Compensation)	13
other	17
Rating Decision - Codesheet	10
other	26
Medical Treatment Record - Non-Government Facility	95
RAMP Opt-in Election	26
Rating Decision - Codesheet	12
Appeal Notification Letter	12
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
RAMP Opt-in Election	28
CAPRI	10
VA Exam Worksheet	28
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	23
Rating Decision - Codesheet	11
VETSNET Award Print	10
STR - Medical - Photocopy	66
CAPRI	12
Correspondence	10
Correspondence	928
VA 21-4138 Statement In Support of Claim	240793
other	219
Rating Decision - Narrative	89
Rating Decision - Narrative	30
Rating Decision - Narrative	113
VA Exam Worksheet	58
BVA Letter	45
VA 21-2507a Request for Physical Examination	54
CAPRI	821
other	5541
BVA Decision	602
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	11214
VA 21-526EZ, Fully Developed Claim (Compensation)	123
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
Military Personnel Record	10
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	15
C&P Exam	10
Correspondence	33
VA 21-2507a Request for Physical Examination	12
C&P Exam	41
VETSNET Award Print	10
FOIA/Privacy Act Request	12
FOIA/Privacy Act Request	15
BVA Decision	11
VA 21-4138 Statement In Support of Claim	58
VA 21-0820 Report of General Information	10
VA 27-0820 Report of General Information	10
C&P Exam	91
Rating Decision - Narrative	42
Correspondence	14
MAP-D Development Letter	32
Rating Decision - Codesheet	10
Correspondence	10
Correspondence	10
other	14
other	16
other	19
CAPRI	69
Rating Decision - Codesheet	26
VA 21-526EZ, Fully Developed Claim (Compensation)	34
VA 21-4138 Statement In Support of Claim	13
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	18
Medical Treatment Record - Non-Government Facility	10
Medical Treatment Record - Non-Government Facility	66
other	22
VA 27-0820 Report of General Information	11
VA 21-4138 Statement In Support of Claim	18
VA 21-526EZ, Fully Developed Claim (Compensation)	10
VA Examination	10
other	36
Rating Decision - Codesheet	27
C&P Exam	27
other	44
Medical Treatment Record - Non-Government Facility	18
DRO Process Explanation Letter	464
RAMP Opt-in Election	17
other	255
Rating Decision - Codesheet	40
Appeal Notification Letter	19
VA 21-4138 Statement In Support of Claim	14
SHARE Print Screens	38
Correspondence	67
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	23
Rating Decision - Codesheet	29
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	18
VETSNET Award Print	19
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	42
Medical Treatment Record - Government Facility	34
RAMP Opt-in Election	43
CAPRI	33
VA 21-0966 Intent to File	16
VA 21-2507a Request for Physical Examination	59
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
other	10
C&P Exam	38
Rating Decision - Codesheet	17
VA 21-4138 Statement In Support of Claim	27
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
other	36
VA Exam Worksheet	10
STR - Medical - Photocopy	11
QTC Invoice	15
other	174
CAPRI	337
Correspondence	22
Correspondence	31
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	21
Identification Materials	10
VA Examination	37
SOC	26
Rating Decision - Narrative	10
Rating Decision - Narrative	11
Rating Decision - Narrative	24
Rating Decision - Narrative	16
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	53
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	21
SOC	25
Rating Decision - Narrative	28
Rating Decision - Narrative	13
NOD	34
SOC	18
Form 9	51
other	11
Rating Decision - Narrative	31
Correspondence	17
VA 21-4138 Statement In Support of Claim	11
Correspondence	28
Correspondence	11
C&P Exam	43
Military Personnel Record	15
Congressionals	15
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	32
other	14
RAMP Opt-in Election	10
RAMP Opt-in Election	62
VETSNET Award Print	14
VA 21-4138 Statement In Support of Claim	25
Appeal Notification Letter	27
Rating Decision - Narrative	40
Rating Decision - Codesheet	79
VETSNET Award Print	23
other	58
VA 27-0820a Report of First Notice of Death	82
RAMP Opt-in Election	21
Correspondence	12
Correspondence	22
RAMP Opt-in Election	18
Rating Decision - Narrative	25
Form 9	37
Medical Treatment Record - Government Facility	167
VA 27-0820a Report of First Notice of Death	18
RAMP Opt-in Election	30
RAMP Opt-in Election	14
Correspondence	21
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
Motion to Advance on Docket	29
other	23
RAMP Opt-in Election	10
VETSNET Award Print	12
Correspondence	10
Rating Decision - Codesheet	68
Motion to Advance on Docket	11
C&P Exam	15
Congressionals	646402
Rating Decision - Codesheet	13
SOC	156989
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	17
Rating Decision - Narrative	11
Rating Decision - Narrative	30
Rating Decision - Narrative	16
Rating Decision - Codesheet	24
Rating Decision - Narrative	25
RAMP Opt-in Election	19
RAMP Opt-in Election	39
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	520364
other	34
RAMP Opt-in Election	18
other	58
Correspondence	22
other	19
Form 8	11
RAMP Opt-In Notice	12
RAMP Opt-in Election	11
Rating Decision - Narrative	11
VETSNET Award Print	31
Third Party Correspondence	42
Medical Treatment Record - Non-Government Facility	10
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	22
Rating Decision - Codesheet	17
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	103
Rating Decision - Narrative	28
Rating Decision - Narrative	15
Rating Decision - Narrative	23
Rating Decision - Codesheet	33
Correspondence	30
other	10
Buddy / Lay Statement	11
Correspondence	10
VA Exam Worksheet	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	21
VA 21-686c Declaration of Status of Dependents	10
Marriage Certificate / License	18
Correspondence	13
Deferred Rating (e.g. VA Form 21-6789)	10
Rating Decision - Codesheet	53
Rating Decision - Narrative	23
Correspondence	14
other	13
Medical Treatment Record - Non-Government Facility	48
Medical Treatment Record - Non-Government Facility	13
Third Party Correspondence	41
other	27
Medical Treatment Record - Non-Government Facility	21
Military Personnel Record	49
Marriage Certificate / License	17
Logbooks	15
VA 21-4138 Statement In Support of Claim	19
Correspondence	84
BVA Letter	20
RAMP Opt-in Election	14
Third Party Correspondence	58
Correspondence	52
Fax Cover Sheet	12
Correspondence	11
SSA/SSI Letter	11
Medical Treatment Record - Government Facility	110
Medical Treatment Record - Government Facility	11
Correspondence	28
Third Party Correspondence	19
Service Record (SR)	15
CAPRI	19
Hearing Related	19
CAPRI	11
Third Party Correspondence	27
other	11
VA 21-526b, Veteran Supplemental Claim	36
VA 21-526b, Veteran Supplemental Claim	12
other	10
Rating Decision - Codesheet	14
Rating Decision - Narrative	81
Appeal Notification Letter	21
RAMP Opt-in Election	33
other	18
other	22
Third Party Correspondence	22
RAMP Opt-in Election	27
Medical Treatment Record - Non-Government Facility	13
Correspondence	13
Correspondence	16
Correspondence	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	14
MAP-D Development Letter	51
Form 9	948
SSOC	85
CAPRI	11
VA 21-2507a Request for Physical Examination	10
CAPRI	11
DPRIS Response	38
Power of Attorney (incl. VA 21-22, VA 22a)	13
Power of Attorney (incl. VA 21-22, VA 22a)	15
CAPRI	22
Rating Decision - Codesheet	12
VA 21-4142 Authorization for Release of Information	17
VA 21-526b, Veteran Supplemental Claim	71
VA 21-526b, Veteran Supplemental Claim	25
NOD	12
VETSNET Award Print	50
Rating Decision - Codesheet	16
NOD	24
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	14
Correspondence	15
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	10
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	11
Third Party Correspondence	334779
SOC	135
Rating Decision - Narrative	1070
NOD	10
CAPRI	42
CAPRI	27
Rating Decision - Codesheet	18
Rating Decision - Narrative	30
VETSNET Award Print	14
Rating Decision - Codesheet	12
CAPRI	37
CAPRI	10
BVA Decision	74
SOC	10
Hearing Transcript	180
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	1901
C&P Exam	32
C&P Exam	701
Appeal Notification Letter	14
Appeal Notification Letter	32
BVA Letter	90
Congressionals	10
Correspondence	470
Correspondence	22
Correspondence	11
Correspondence	101
Correspondence	11
Correspondence	17
DPRIS Response	12
Informal Claims	155
Medical Treatment Record - Government Facility	1041
Medical Treatment Record - Non-Government Facility	942
Medical Treatment Record - Non-Government Facility	28
Military Personnel Record	49
NOD	11
NOD	94
Photographs	39
RAMP Opt-In Notice	40
RAMP Opt-in Election	44
RAMP Opt-in Election	116
Rating Decision - Codesheet	11
Rating Decision - Codesheet	16
Rating Decision - Narrative	10
Rating Decision - Narrative	11
Rating Decision - Narrative	20
SHARE Print Screens	17
Status Letter	20
Status Letter	10
Third Party Correspondence	19
Third Party Correspondence	13
VA 10-5345 Request For and Authorization to Release Medical or Health Information	10
VA 20-6560 Notice of Benefit Payment	11
VA 21-0966 Intent to File	10
VA 21-0966 Intent to File	19
VA 21-0966 Intent to File	39
other	30
VETSNET Award Print	17
VA Memo	11
VA Memo	21
VA 27-0820 Report of General Information	36
VA 21-686c Declaration of Status of Dependents	22
VA 21-686c Declaration of Status of Dependents	135
VA 21-526 Veterans Application for Compensation or Pension	31
VA 21-526 Veterans Application for Compensation or Pension	107
VA 21-4138 Statement In Support of Claim	15
VA 21-4138 Statement In Support of Claim	65
VA 21-4138 Statement In Support of Claim	33
VA 21-3101 Request for Information	40
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	16
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	20
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	12
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	18
CAPRI	21
CAPRI	12
CAPRI	96802
other	29
BVA Letter	19
Rating Decision - Codesheet	115
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	11
other	15
RAMP Opt-in Election	25
Marriage Certificate / License	81
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	21
Correspondence	15
Correspondence	10
VETSNET Award Print	21
Remand BVA or CAVC	82
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	18
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	20
SOC	44
CAPRI	33
Correspondence	11
RAMP Opt-in Election	217
VA 21-0820 Report of General Information	16
Rating Decision - Codesheet	13
VETSNET Award Print	17
RAMP Opt-In Notice	15
Rating Decision - Narrative	38
Rating Decision - Narrative	16
Deferred Rating (e.g. VA Form 21-6789)	15
Correspondence	16
Correspondence	10
VETSNET Award Print	10
C&P Exam	33
other	94
NOD	24
RAMP Opt-in Election	19
Appeal Notification Letter	10
Rating Decision - Codesheet	143
Rating Decision - Codesheet	32
VETSNET Award Print	25
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	23
Medical Receipts	10
Medical Treatment Record - Non-Government Facility	18
VA 21-0820 Report of General Information	1403
Rating Decision - Narrative	201
NOD	19
RAMP Opt-in Election	66
RAMP Opt-in Election	101
CAPRI	10
Third Party Correspondence	74
Third Party Correspondence	19
Third Party Correspondence	11
Correspondence	44
NOD	38
Form 9	732
VA 21-4138 Statement In Support of Claim	10
VA 21-4138 Statement In Support of Claim	10
RAMP Opt-in Election	37
Congressionals	359070
VA 21-4138 Statement In Support of Claim	61
RAMP Opt-in Election	43
Medical Treatment Record - Non-Government Facility	583
Medical Treatment Record - Non-Government Facility	906
Third Party Correspondence	1014
Third Party Correspondence	44
Medical Treatment Record - Non-Government Facility	52
Third Party Correspondence	459
Third Party Correspondence	167
Third Party Correspondence	74
Medical Treatment Record - Non-Government Facility	179
Medical Treatment Record - Non-Government Facility	57
Medical Treatment Record - Non-Government Facility	56
VA 21-4138 Statement In Support of Claim	102
VA 21-4138 Statement In Support of Claim	179
Medical Treatment Record - Non-Government Facility	98
Correspondence	92
VA 21-4138 Statement In Support of Claim	52
VA 21-4138 Statement In Support of Claim	39
VA 21-4138 Statement In Support of Claim	97
Correspondence	13
VA 21-2680 Examination for Housebound Status or Permanent Need for Regular Aid and Attendance	17
FOIA/Privacy Act Request	12
Correspondence	10
VETSNET Award Print	16
VA 27-0820 Report of General Information	11
BVA Letter	14
RAMP Opt-in Election	14
VETSNET Award Print	12
Rating Decision - Narrative	20
Appeal Notification Letter	29
VA 21-4138 Statement In Support of Claim	10
DRO Process Explanation Letter	10
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	16
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	23
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	17
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	17
SOC	14
Form 9	36
RAMP Opt-In Notice	51
Appeal Notification Letter	23
Appeal Notification Letter	11
VA 21-4138 Statement In Support of Claim	50
Rating Decision - Codesheet	31
Correspondence	49
Rating Decision - Narrative	10
other	17
VA 21-0845 Authorization to Disclose Personal Information to a Third Party	10
Correspondence	26
Returned Mail	14
Congressionals	11
BVA Letter	11
VA 21-0845 Authorization to Disclose Personal Information to a Third Party	35
VA 646 Statement of Accredited Representative in Appealed Case	18
NOD	13
NOD	41
RAMP Opt-in Election	35
Rating Decision - Narrative	16
Death Certificate	56
Death Certificate	11
Death Certificate	31457
Rating Decision - Narrative	28
NOD	37
RAMP Opt-in Election	23
Rating Decision - Narrative	80
BVA Letter	24
VAMC Report of Hospitalization	37
VA 21-0820 Report of General Information	37
Correspondence	58
Death Certificate	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	37
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	557065
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	20
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	14
VETSNET Award Print	16
Rating Decision - Narrative	116
CAPRI	18
CAPRI	14
Status Letter	44
Power of Attorney (incl. VA 21-22, VA 22a)	37
Rating Decision - Narrative	12
Status Letter	12
VETSNET Award Print	10
Status Letter	24
Congressionals	16
Congressionals	10
Correspondence	11
VA 21-0820 Report of General Information	49
Appeal Notification Letter	10
Medical Treatment Record - Non-Government Facility	180
Correspondence	84
Birth Certificate	83
Divorce Decree	159
SOC	10
CAPRI	11
Form 9	10
CAPRI	25
Rating Decision - Narrative	14
Rating Decision - Codesheet	12
VETSNET Award Print	15
RAMP Opt-in Election	20
Correspondence	13
Correspondence	29
Congressionals	10
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	19
Congressionals	10
BVA Letter	33
other	11
C&P Exam	67
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	31
Remand BVA or CAVC	17
VA 21-0820 Report of General Information	11
Congressionals	34
other	23
Rating Decision - Narrative	11
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	22
VETSNET Award Print	14
IRIS Inquiry	19
Correspondence	38
VA 21-0820 Report of General Information	12
Correspondence	11
VA 21-4138 Statement In Support of Claim	775929
RAMP Opt-in Election	156
Rating Decision - Narrative	207
NOD	30
other	54
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	19
RAMP Opt-in Election	17
VA 21-4138 Statement In Support of Claim	982
Rating Decision - Narrative	22
Rating Decision - Codesheet	10
CAPRI	33
RAMP Opt-in Election	26
Third Party Correspondence	25
Rating Decision - Narrative	31
Rating Decision - Narrative	26
SSOC	102
SSOC	28
BVA Decision	721
other	10
VA 21-526EZ, Fully Developed Claim (Compensation)	10
CAPRI	12
Appeal Notification Letter	27
BDN Print Screens	10
C&P Exam	11
Returned Mail	11
VA 21-0820 Report of General Information	18
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	10
Medical Treatment Record - Non-Government Facility	22
RAMP Opt-In Notice	20
RAMP Opt-in Election	392
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	395
Rating Decision - Narrative	82
SOC	15
other	12
Rating Decision - Narrative	72
VA 21-4138 Statement In Support of Claim	17
Rating Decision - Narrative	20
Rating Decision - Codesheet	11
Rating Decision - Narrative	11
Rating Decision - Narrative	10
other	34
VETSNET Award Print	10
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	53
Medical Treatment Record - Non-Government Facility	41
BVA Letter	14
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	18
VA 21-4138 Statement In Support of Claim	12
RAMP Opt-in Election	17
Rating Decision - Narrative	48
RAMP Opt-in Election	10
Rating Decision - Codesheet	29
VA 21-4138 Statement In Support of Claim	80
Correspondence	45
Appeal Notification Letter	24
Correspondence	46
Rating Decision - Narrative	23
NOD	21
RAMP Opt-In Notice	16
CAPRI	8318
Rating Decision - Codesheet	11
Returned Mail	735
C&P Exam	100
Correspondence	34
VA Exam Worksheet	11
Correspondence	42
RAMP Opt-In Notice	99
other	14
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	14
Correspondence	12
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	18
VETSNET Award Print	2293
VA 21-4138 Statement In Support of Claim	15
RAMP Opt-in Election	41
Correspondence	11
Hearing Transcript	14
VA 21-4138 Statement In Support of Claim	16
other	13
DPRIS Response	23
other	10
BVA Letter	14
Remand BVA or CAVC	33
BVA Letter	6596
Rating Decision - Narrative	82
Rating Decision - Narrative	35
VA 21-526EZ, Fully Developed Claim (Compensation)	25
RAMP Opt-in Election	9004
RAMP Opt-in Election	46
Rating Decision - Narrative	42
RAMP Opt-in Election	13
Third Party Correspondence	12
DRO Process Explanation Letter	18
BVA Decision	42
RAMP Opt-in Election	10
Military Personnel Record	13
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	12
Rating Decision - Narrative	36
Rating Decision - Narrative	52
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	253
Rating Decision - Narrative	21
Correspondence	20
other	10
other	67258
RAMP Opt-in Election	370
other	416
DD 215 Corrected DD Form 214 Certificate of Release or Discharge From Active Duty	33
Military Personnel Record	10
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	110
Military Personnel Record	13
Military Personnel Record	12
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	318
CAPRI	35
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	485
Rating Decision - Narrative	43
Rating Decision - Codesheet	15
Deferred Rating (e.g. VA Form 21-6789)	116
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	13
VETSNET Award Print	13884
Military Personnel Record	10
other	21
other	30
VA Exam Worksheet	24
C&P Exam	529
VA 21-2507a Request for Physical Examination	16
VA 21-0781a, Statement in Support of Claim for PTSD Secondary to Sexual Assault	29
C&P Exam	12
Rating Decision - Narrative	14
Rating Decision - Codesheet	35
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	11
NOD	12
DRO Process Explanation Letter	82
Rating Decision - Codesheet	45
VETSNET Award Print	22
NOD	43
Third Party Correspondence	25
Correspondence	16
DRO Process Explanation Letter	34
Correspondence	10
Correspondence	65
CAPRI	34
Rating Decision - Codesheet	11
Correspondence	14
C&P Exam	14
C&P Exam	12
VETSNET Award Print	11
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	77
VA 21-4138 Statement In Support of Claim	74371
CAPRI	13
VETSNET Award Print	13
Notification Letter (e.g. VA 20-8993, VA 21-0290, PCGL)	26
other	22
VA 21-22 Appointment of Veterans Serv. Org. as Claimant Rep	27
VA 21-0966 Intent to File	11
CAPRI	13
Correspondence	3851
Rating Decision - Narrative	12519
VA Examination	31
VA 21-2507a Request for Physical Examination	91
VA Examination	32
VA Examination	12
C&P Exam	186
C&P Exam	46
C&P Exam	219
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	252
DD 215 Corrected DD Form 214 Certificate of Release or Discharge From Active Duty	12
DD 215 Corrected DD Form 214 Certificate of Release or Discharge From Active Duty	23
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	29
Certificate of Release or Discharge From Active Duty (e.g. DD 214, NOAA 56-16, PHS 1867)	3280
SOC	13013
Appellate Brief (VSO IHP; Post remand Brief; Attorney Brief)	12
BVA Decision	19
CAPRI	11
CAPRI	19
Correspondence	33
Form 9	10
Form 9	14
Medical Treatment Record - Government Facility	11
Medical Treatment Record - Government Facility	10
Medical Treatment Record - Government Facility	10
Medical Treatment Record - Non-Government Facility	26
NOD	39
Photographs	20
Rating Decision (e.g. VA Form 21-6796)	10
Rating Decision (e.g. VA Form 21-6796)	12
Rating Decision (e.g. VA Form 21-6796)	15
Rating Decision - Narrative	10
Rating Decision - Narrative	11
Rating Decision - Narrative	12
